corp_code,corp_name,fiscal_year,filing_year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords,period_group
01510489,프레스티지바이오파마,2022,2023,20231129001041,20231129,[기재정정]사업보고서 (2023.06),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01510489,프레스티지바이오파마,2024,2025,20250923000316,20250923,[기재정정]사업보고서 (2025.06),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01510489,프레스티지바이오파마,2024,2025,20250923000166,20250923,[기재정정]사업보고서 (2025.06),1,28,감사용역|감사위원|감사의견|감사인|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01159233,솔루엠,2019,2020,20201208000451,20201208,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01159233,솔루엠,2019,2020,20200904000075,20200904,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01159233,솔루엠,2019,2020,20200814002594,20200814,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01159233,솔루엠,2019,2020,20200814001446,20200814,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01159233,솔루엠,2020,2021,20210421000598,20210421,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
01159233,솔루엠,2020,2021,20210324000318,20210324,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
01159233,솔루엠,2023,2024,20240319000321,20240319,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01159233,솔루엠,2024,2025,20250813001277,20250813,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01524093,DL이앤씨,2023,2024,20240328001465,20240328,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01524093,DL이앤씨,2024,2025,20250814001988,20250814,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00173078,명신산업,2023,2024,20240328000483,20240328,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
